name,calories,cholesterol,folic_acid,vitamin_c,vitamin_d,calcium,iron,protein,carbohydrate,fiber,sugars,fat
"Durian, raw or frozen",147,0.0,0.0,19.7,0.0,6.0,0.43,1.47,27.09,3.8,0.0,5.33
"Tomatoes, raw, orane",16,0.0,0.0,16.0,0.0,5.0,0.47,1.16,3.18,0.9,0.0,0.19
"Tomatoes, raw, yellow",15,0.0,0.0,9.0,0.0,11.0,0.49,0.98,2.98,0.7,0.0,0.26
"E custards, dry mix",410,258.0,0.0,0.4,0.0,228.0,1.93,6.9,82.8,0.0,0.0,6.4
"Peanut flour, low fat",428,0.0,0.0,0.0,0.0,130.0,4.74,33.8,31.27,15.8,0.0,21.9
"Fish, smoked, haddock",116,77.0,0.0,0.0,34.0,49.0,1.4,25.23,0.0,0.0,0.0,0.96
"DENNY'S, french fries",282,0.0,0.0,1.6,0.0,14.0,0.72,3.41,35.2,3.5,0.85,14.13
"Ground turkey, cooked",203,93.0,0.0,0.0,8.0,28.0,1.52,27.37,0.0,0.0,0.0,10.4
"MURRAY, Vanilla Wafer",461,1.0,0.0,0.0,0.0,0.0,0.0,4.0,72.9,1.4,31.5,17.4
"WENDY'S, french fries",301,0.0,0.0,3.8,0.0,16.0,0.93,3.73,39.73,4.0,0.4,14.1
"Bread, toasted, wheat",313,0.0,20.0,0.2,0.0,165.0,4.09,12.96,55.77,4.7,6.42,4.27
"Danish pastry, cheese",374,23.0,35.0,0.1,2.0,35.0,1.8,8.0,37.2,1.0,6.95,21.9
"Nuts, lazed, walnuts",500,0.0,0.0,0.0,0.0,71.0,1.29,8.28,47.59,3.6,32.14,35.71
"Spices, arlic powder",331,0.0,0.0,1.2,0.0,79.0,5.65,16.55,72.73,9.0,2.43,0.73
"Oil, soybean lecithin",763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"E, fresh, raw, yolk",322,1085.0,0.0,0.0,218.0,129.0,2.73,15.86,3.59,0.0,0.56,26.54
"Fireweed, raw, leaves",103,0.0,0.0,2.2,0.0,429.0,2.4,4.71,19.22,10.6,0.0,2.75
"Beef, pastrami, cured",147,68.0,0.0,0.3,4.0,10.0,2.22,21.8,0.36,0.0,0.1,5.82
"Frankfurter, meatless",233,0.0,0.0,0.0,0.0,33.0,1.41,19.61,7.7,3.9,0.0,13.73
"Emu, raw, flat fillet",102,71.0,0.0,0.0,0.0,3.0,5.0,22.25,0.0,0.0,0.0,0.74
"Emu, raw, inside drum",108,67.0,0.0,0.0,0.0,4.0,5.23,22.22,0.0,0.0,0.0,1.49
"Ice creams, chocolate",216,34.0,0.0,0.7,8.0,109.0,0.93,3.8,28.2,1.2,25.36,11.0
"Snacks, potato sticks",522,0.0,0.0,47.3,0.0,18.0,2.27,6.7,53.3,3.4,0.22,34.4
"USDA Commodity, salsa",36,0.0,0.0,4.0,0.0,12.0,2.24,1.5,7.0,1.4,0.0,0.2
"Fis, uncooked, dried",249,0.0,0.0,1.2,0.0,162.0,2.03,3.3,63.87,9.8,47.92,0.93
"Game meat, raw, horse",133,52.0,0.0,1.0,0.0,6.0,3.82,21.39,0.0,0.0,0.0,4.6
"Syrup, fruit flavored",261,0.0,0.0,0.0,0.0,0.0,0.03,0.0,65.1,0.0,65.0,0.02
"Broccoli, raw, stalks",28,0.0,0.0,93.2,0.0,48.0,0.88,2.98,5.24,0.0,0.0,0.35
"Cream, cultured, sour",198,59.0,0.0,0.9,0.0,101.0,0.07,2.44,4.63,0.0,3.41,19.35
"Gravy, canned, au jus",16,0.0,0.0,1.0,0.0,4.0,0.6,1.2,2.5,0.0,0.0,0.2
"McDONALD'S, Hamburer",264,27.0,0.0,0.6,0.0,127.0,2.87,12.92,30.28,1.3,6.03,10.09
"Cheese, port de salut",352,123.0,0.0,0.0,21.0,650.0,0.43,23.78,0.57,0.0,0.57,28.2
SILK Oriinal Creamer,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,6.67
SILK Hazelnut Creamer,133,0.0,0.0,200.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,6.67
"Soup, mix, dry, onion",293,0.0,0.0,3.4,0.0,143.0,1.25,7.48,65.07,6.6,4.65,0.34
"Mushrooms, raw, enoki",37,0.0,0.0,0.0,5.0,0.0,1.15,2.66,7.81,2.7,0.22,0.29
Bacon and beef sticks,517,102.0,0.0,0.0,0.0,14.0,1.86,29.1,0.8,0.0,0.8,44.2
"Salami, pork, Italian",425,80.0,0.0,0.0,0.0,10.0,1.52,21.7,1.2,0.0,1.2,37.0
"Crackers, whole-wheat",427,0.0,0.0,0.0,0.0,36.0,3.34,10.58,69.55,10.3,1.19,14.13
"Peanuts, raw, spanish",570,0.0,0.0,0.0,0.0,106.0,3.91,26.15,15.83,9.5,0.0,49.6
